pair_id,model_similarity
pair_1101,0.069134705
pair_1102,0.099167765
pair_1103,0.01413602
pair_1104,0.029348831
pair_1105,0.064306092
pair_1106,-0.07902112
pair_1107,-0.021610008
pair_1108,0.059547641
pair_1109,0.252241082
pair_111,-0.074613916
pair_1110,0.344072351
pair_1111,0.071666354
pair_1112,0.12329056
pair_1113,0.066680715
pair_1114,0.164087801
pair_1115,0.029506856
pair_1116,-0.017370658
pair_1117,-0.059021687
pair_1118,-0.074058771
pair_1119,0.101753375
pair_112,0.251514647
pair_1120,0.070175464
pair_1121,-0.043110109
pair_1122,0.228431413
pair_1123,0.063939499
pair_1124,-0.151559881
pair_1125,-0.063056259
pair_1126,0.005502566
pair_1127,0.048564029
pair_1128,0.032504153
pair_1129,-0.011461178
pair_113,-0.035361606
pair_1130,-0.047408656
pair_1131,0.018787741
pair_1132,0.101162306
pair_1133,0.051346364
pair_1134,-0.109176839
pair_1135,-0.01568745
pair_1136,-0.051920808
pair_1137,0.011333625
pair_1138,-0.075627027
pair_1139,-0.107048664
pair_114,0.010506157
pair_1140,-0.076948769
pair_1141,-0.086984768
pair_1142,0.081392386
pair_1143,-0.00844291
pair_1144,0.058789776
pair_1145,0.013197621
pair_1146,-0.050900669
pair_1147,0.032227769
pair_1148,-0.112399495
pair_1149,-0.011376271
pair_115,0.022615504
pair_1150,0.057613124
pair_1151,0.032574344
pair_1152,0.024251997
pair_1153,-0.036718318
pair_1154,0.082868694
pair_1155,0.02115705
pair_1156,-0.093267575
pair_1157,-0.125190739
pair_1158,-0.105668123
pair_1159,1.46E-05
pair_116,0.16277961
pair_1160,-0.030953483
pair_1161,-0.06850391
pair_1162,-0.10670465
pair_1163,-0.089678453
pair_1164,-0.057942071
pair_1165,-0.080488251
pair_1166,-0.051384442
pair_1167,-0.036845298
pair_1168,0.01192663
pair_1169,-0.057384013
pair_117,-0.065985229
pair_1170,-0.045540326
pair_1171,0.049027637
pair_1172,0.018356905
pair_1173,0.025723465
pair_1174,0.017302983
pair_1175,0.006598978
pair_1176,0.029973109
pair_1177,0.038883495
pair_1178,0.044575887
pair_1179,0.094937327
pair_118,-0.102912893
pair_1180,0.159757694
pair_1181,0.120568316
pair_1182,0.200635216
pair_1183,0.090102099
pair_1184,-0.077847245
pair_1185,-0.067755586
pair_1186,0.115725996
pair_1187,0.101020329
pair_1188,0.110311349
pair_1189,0.048574181
pair_119,-0.091496602
pair_1190,-0.070745129
pair_1191,0.018515754
pair_1192,-0.067523863
pair_1193,-0.066559856
pair_1194,-0.081829418
pair_1195,-0.016101861
pair_1196,0.008348066
pair_1197,0.026072409
pair_1198,-0.038683574
pair_1199,0.058787344
pair_12,-0.022580992
pair_120,-0.020311892
pair_1200,-0.023710373
pair_1201,0.033999419
pair_1202,0.073200778
pair_1203,-0.034928622
pair_1204,-0.164082166
pair_1205,0.004804852
pair_1206,0.079331929
pair_1207,0.050027158
pair_1208,-0.008557859
pair_1209,0.074480559
pair_121,0.302005347
pair_1210,0.014653702
pair_1211,0.099631031
pair_1212,0.323282435
pair_1213,0.039658891
pair_1214,0.01560134
pair_1215,-0.023328721
pair_1216,0.20275863
pair_1217,0.016449803
pair_1218,0.00755822
pair_1219,0.016073631
pair_122,0.017252834
pair_1220,0.015866232
pair_1221,0.048506794
pair_1222,-0.094681439
pair_1223,0.213918072
pair_1224,0.016037061
pair_1225,0.068423068
pair_1226,0.069585455
pair_1227,-0.047858572
pair_1228,0.214480253
pair_1229,0.159566683
pair_123,-0.04237344
pair_1230,0.129661675
pair_1231,0.184539311
pair_1232,-0.081677156
pair_1233,-0.121103093
pair_1234,0.095861748
pair_1235,0.116851087
pair_1236,0.015337183
pair_1237,0.034540299
pair_1238,-0.071970203
pair_1239,0.063150449
pair_124,-0.083047588
pair_1240,0.330910365
pair_1241,0.151541588
pair_1242,0.218725776
pair_1243,0.423680422
pair_1244,-0.001211855
pair_1245,-0.017800418
pair_1246,0.246894237
pair_1247,0.220217855
pair_1248,-0.000970975
pair_1249,-0.095742164
pair_125,-0.107731646
pair_1250,0.01020395
pair_1251,-0.028454211
pair_1252,0.002558369
pair_1253,-0.088733266
pair_1254,-0.143272929
pair_1255,-0.00130848
pair_1256,-0.007142535
pair_1257,-0.143339048
pair_1258,-0.093539383
pair_1259,0.025298992
pair_126,0.124114693
pair_1260,0.271675899
pair_1261,0.243139802
pair_1262,-0.047577986
pair_1263,0.006843243
pair_1264,0.103472821
pair_1265,0.286098118
pair_1266,-0.048554065
pair_1267,0.128663066
pair_1268,0.432083515
pair_1269,0.056928655
pair_127,0.020693124
pair_1270,-0.063790572
pair_1271,-0.041186917
pair_1272,-0.102067242
pair_1273,-0.01476558
pair_1274,0.16824421
pair_1275,0.008543566
pair_1276,0.378831883
pair_1277,0.020240235
pair_1278,-0.065753414
pair_1279,-0.150080078
pair_128,-0.01084789
pair_1280,0.028118574
pair_1281,0.136231509
pair_1282,-0.080082788
pair_1283,0.146550836
pair_1284,0.069343966
pair_1285,0.04857972
pair_1286,-0.048545703
pair_1287,0.297123712
pair_1288,0.046485809
pair_1289,0.367610928
pair_129,-0.102315225
pair_1290,0.316382718
pair_1291,0.204663592
pair_1292,0.262661814
pair_1293,0.241638714
pair_1294,0.094012955
pair_1295,0.02054817
pair_1296,-0.116061177
pair_1297,-0.099032262
pair_1298,0.122696433
pair_1299,0.158366585
pair_13,0.172247414
pair_130,-0.007685166
pair_1300,-0.136911335
pair_1301,0.040293355
pair_1302,0.280469383
pair_1303,0.159426999
pair_1304,-0.04407185
pair_1305,-0.013558439
pair_1306,0.027799195
pair_1307,0.077995978
pair_1308,-0.073655704
pair_1309,0.201009215
pair_131,-0.002980372
pair_1310,-0.086594186
pair_1311,0.239428121
pair_1312,0.085156274
pair_1313,-0.113809124
pair_1314,0.141602615
pair_1315,0.075390057
pair_1316,0.111917879
pair_1317,-0.130341272
pair_1318,0.089482337
pair_1319,0.395115645
pair_132,-0.042814016
pair_1320,0.172792592
pair_1321,-0.073293497
pair_1322,-0.05319577
pair_1323,-0.114790386
pair_1324,-0.10903452
pair_1325,-0.117495253
pair_1326,-0.113467433
pair_1327,-0.11573035
pair_1328,0.008535249
pair_1329,0.027671883
pair_133,-0.034774482
pair_1330,-0.193183415
pair_1331,-0.087094901
pair_1332,-0.075762605
pair_1333,0.143396254
pair_1334,0.09969483
pair_1335,-0.128308189
pair_1336,-0.099645584
pair_1337,-0.109013969
pair_1338,0.030253954
pair_1339,-0.193354572
pair_134,-0.034433968
pair_1340,-0.135182775
pair_1341,0.033494864
pair_1342,-0.035017646
pair_1343,0.06931946
pair_1344,-0.007417061
pair_1345,0.02403238
pair_1346,0.200504561
pair_1347,-0.013661388
pair_1348,0.147770613
pair_1349,-0.127622583
pair_135,-0.121891931
pair_1350,-0.126608893
pair_1351,-0.08322134
pair_1352,0.007093678
pair_1353,-0.130619282
pair_1354,0.068305732
pair_1355,-0.123782469
pair_1356,-0.087017258
pair_1357,-0.112389702
pair_1358,0.021546235
pair_1359,0.03699416
pair_136,-0.072146225
pair_1360,0.000286415
pair_1361,-0.11353417
pair_1362,0.015181116
pair_1363,0.034800966
pair_1364,-0.111336515
pair_1365,-0.031153006
pair_1366,-0.114872663
pair_1367,-0.004208609
pair_1368,-0.058801233
pair_1369,-0.1244526
pair_137,-0.033065354
pair_1370,-0.163328839
pair_1371,0.219485489
pair_1372,-0.093096681
pair_1373,-0.009461517
pair_1374,0.236549611
pair_1375,-0.023706481
pair_1376,-0.024540069
pair_1377,-0.149294202
pair_1378,0.177056282
pair_1379,0.14656466
pair_138,-0.017812514
pair_1380,-0.065866913
pair_1381,0.026855548
pair_1382,-0.091297008
pair_1383,-0.014697952
pair_1384,-0.073625489
pair_1385,-0.01195175
pair_1386,-0.090362005
pair_1387,-0.160811402
pair_1388,-0.073376009
pair_1389,0.036763116
pair_139,0.094186518
pair_1390,-0.066715791
pair_1391,-0.035957101
pair_1392,-0.162736986
pair_1393,0.032923991
pair_1394,-0.034115811
pair_1395,-0.087019921
pair_1396,-0.102385531
pair_1397,-0.102900408
pair_1398,0.036183112
pair_1399,-0.044520874
pair_14,-0.044636886
pair_140,-0.089989135
pair_1400,0.002796029
pair_1401,-0.021957708
pair_1402,0.007136031
pair_1403,0.188607777
pair_1404,0.04018268
pair_1405,-0.118759114
pair_1406,-0.076913794
pair_1407,0.064923763
pair_1408,0.034080298
pair_1409,0.294284891
pair_141,-0.012760086
pair_1410,-0.049586463
pair_1411,-0.071285989
pair_1412,0.075968388
pair_1413,-0.060099055
pair_1414,-0.129564087
pair_1415,-0.026213905
pair_1416,0.087173647
pair_1417,-0.117779478
pair_1418,0.118505591
pair_1419,0.252285206
pair_142,-0.078353299
pair_1420,0.10807115
pair_1421,-0.056270757
pair_1422,0.038194993
pair_1423,-0.046787546
pair_1424,-0.107280132
pair_1425,-0.004314516
pair_1426,-0.040483792
pair_1427,0.09820865
pair_1428,-0.111205283
pair_1429,0.16755656
pair_143,0.067669649
pair_1430,-0.021700351
pair_1431,0.007534419
pair_1432,-0.030709967
pair_1433,-0.120207424
pair_1434,-0.128904404
pair_1435,0.029045607
pair_1436,0.004271459
pair_1437,0.042565297
pair_1438,0.040472654
pair_1439,0.133589924
pair_144,0.039050763
pair_1440,0.078367632
pair_1441,0.007561946
pair_1442,0.081228772
pair_1443,0.04181811
pair_1444,0.01521668
pair_1445,-0.142123732
pair_1446,-0.158558871
pair_1447,-0.190306642
pair_1448,-0.115679732
pair_1449,0.085047542
pair_145,0.011968502
pair_1450,-0.060028678
pair_1451,0.146877119
pair_1452,-0.025793077
pair_1453,0.028013178
pair_1454,-0.014097689
pair_1455,0.046655883
pair_1456,-0.138670584
pair_1457,-0.167566
pair_1458,-0.045437198
pair_1459,-0.031636286
pair_146,0.093781371
pair_1460,0.0836399
pair_1461,0.196687486
pair_1462,-0.057948829
pair_1463,-0.187823938
pair_1464,-0.247499924
pair_1465,0.03869718
pair_1466,-0.016211276
pair_1467,-0.010208452
pair_1468,-0.011958992
pair_1469,-0.063596072
pair_147,0.003048835
pair_1470,-0.042243627
pair_1471,-0.011410405
pair_1472,-0.05927095
pair_1473,-0.107304507
pair_1474,0.06642975
pair_1475,0.188401448
pair_1476,0.083578825
pair_1477,-0.190813676
pair_1478,-0.157952128
pair_1479,0.171188815
pair_148,0.049551752
pair_1480,0.109132356
pair_1481,0.081837973
pair_1482,0.11552904
pair_1483,0.098408617
pair_1484,0.026365717
pair_1485,0.031351507
pair_1486,0.10111752
pair_1487,0.075673003
pair_1488,-0.061032947
pair_1489,0.044637918
pair_149,0.061073932
pair_1490,0.004160833
pair_1491,0.050744995
pair_1492,-0.037296662
pair_1493,-0.048754011
pair_1494,0.096238313
pair_1495,-0.042029139
pair_1496,0.146920232
pair_1497,0.064910677
pair_1498,-0.080761684
pair_1499,-0.025117554
pair_15,-0.012706698
pair_150,0.072778813
pair_1500,0.020590764
pair_1501,0.006490351
pair_1502,0.000991465
pair_1503,-0.012468066
pair_1504,-0.012456596
pair_1505,0.202494143
pair_1506,-0.034173688
pair_1507,-0.06456513
pair_1508,0.014724243
pair_1509,0.036199602
pair_151,0.177906866
pair_1510,-0.01852248
pair_1511,-0.041856233
pair_1512,-0.082719144
pair_1513,-0.085928447
pair_1514,0.248120843
pair_1515,0.022926971
pair_1516,0.093404291
pair_1517,-0.093316489
pair_1518,-0.138148956
pair_1519,-0.076586032
pair_152,0.053570634
pair_1520,-0.057927227
pair_1521,0.19048193
pair_1522,0.132890423
pair_1523,-0.154395161
pair_1524,-0.009695988
pair_1525,-0.089613191
pair_1526,-0.072904727
pair_1527,-0.068349939
pair_1528,-0.040105385
pair_1529,-0.009058727
pair_153,-0.052769695
pair_1530,-0.101255168
pair_1531,-0.054791674
pair_1532,0.005570488
pair_1533,0.303586708
pair_1534,-0.103977079
pair_1535,-0.085061947
pair_1536,-0.022288012
pair_1537,-0.073067649
pair_1538,0.046060583
pair_1539,0.215684392
pair_154,0.014929681
pair_1540,0.124857963
pair_1541,0.132154545
pair_1542,0.065343528
pair_1543,0.023672972
pair_1544,-0.013339368
pair_1545,-0.209453647
pair_1546,-0.140986337
pair_1547,-0.130787412
pair_1548,-0.052183211
pair_1549,-0.00031525
pair_155,0.074324429
pair_1550,0.064495378
pair_1551,0.174039217
pair_1552,0.292204621
pair_1553,0.125317659
pair_1554,0.292384007
pair_1555,-0.089094958
pair_1556,-0.023833097
pair_1557,0.030441972
pair_1558,0.066966532
pair_1559,0.025504979
pair_156,-0.030827679
pair_1560,-0.085530588
pair_1561,-0.157542267
pair_1562,-0.077166008
pair_1563,0.022007009
pair_1564,-0.024220019
pair_1565,-0.061930828
pair_1566,-0.080827433
pair_1567,-0.061872703
pair_1568,-0.062154572
pair_1569,0.395119053
pair_157,-0.052689079
pair_1570,0.002874429
pair_1571,0.28722166
pair_1572,-0.020701451
pair_1573,-0.130828106
pair_1574,0.06958757
pair_1575,0.191927855
pair_1576,0.0370522
pair_1577,0.144650445
pair_1578,0.123236393
pair_1579,0.062318288
pair_158,-0.002350029
pair_1580,0.078959815
pair_1581,-0.116114057
pair_1582,0.028710468
pair_1583,0.279256797
pair_1584,0.055324863
pair_1585,-0.008016888
pair_1586,-0.093713483
pair_1587,0.152417713
pair_1588,-0.180261867
pair_1589,-0.161033235
pair_159,0.038999452
pair_1590,-0.270205869
pair_1591,0.074736034
pair_1592,-0.109456567
pair_1593,0.046422429
pair_1594,0.10421912
pair_1595,0.045420422
pair_1596,0.032251274
pair_1597,-0.222136998
pair_1598,0.11079581
pair_1599,0.211229816
pair_16,-0.075251374
pair_160,-0.031927597
pair_1600,-0.063851501
pair_1601,0.193955907
pair_1602,-0.114511076
pair_1603,-0.172189191
pair_1604,0.057577219
pair_1605,-0.02131896
pair_1606,0.018736032
pair_1607,0.186045035
pair_1608,0.063342342
pair_1609,-0.096178398
pair_161,0.131175364
pair_1610,0.03434835
pair_1611,0.064285256
pair_1612,0.109909998
pair_1613,-0.044578279
pair_1614,-0.079702753
pair_1615,-0.047118265
pair_1616,0.288380133
pair_1617,0.111376548
pair_1618,-0.006074753
pair_1619,0.20072088
pair_162,-0.079903537
pair_1620,-0.016270429
pair_1621,0.09496203
pair_1622,0.108984038
pair_1623,-0.145352027
pair_1624,0.000991876
pair_1625,0.15177387
pair_1626,0.066720709
pair_1627,-0.082921489
pair_1628,0.153902775
pair_1629,0.215192191
pair_163,-0.05834396
pair_1630,0.073368053
pair_1631,0.084638608
pair_1632,0.109327541
pair_1633,0.129464473
pair_1634,-0.090633673
pair_1635,0.055532815
pair_164,0.043986884
pair_165,0.109961201
pair_166,0.0613309
pair_167,-0.096498151
pair_168,0.014603688
pair_169,0.045851873
pair_17,-0.086352467
pair_170,-0.000106804
pair_171,0.055901913
pair_172,0.025298084
pair_173,0.052468249
pair_174,-0.012886172
pair_175,-0.021586483
pair_176,0.053021295
pair_177,0.18787216
pair_178,0.06732199
pair_179,-0.024725761
pair_18,0.020872016
pair_180,0.108626249
pair_181,-0.058868333
pair_182,0.026936737
pair_183,-0.158307495
pair_184,0.298248007
pair_185,-0.139464318
pair_186,-0.095755999
pair_187,0.109202827
pair_188,0.136472539
pair_189,-0.162130318
pair_19,0.046156985
pair_190,0.032118537
pair_191,0.021759227
pair_192,-0.07177961
pair_193,-0.052304965
pair_194,-0.073320582
pair_195,-0.044927554
pair_196,-0.042025265
pair_197,0.038996479
pair_198,-0.063180183
pair_199,-0.025892547
pair_2,0.044702435
pair_20,-0.111427797
pair_200,-0.069055302
pair_201,-0.103168085
pair_202,-0.015878427
pair_203,-0.122061494
pair_204,0.00149242
pair_205,-0.037482744
pair_206,-0.118346687
pair_207,0.044052279
pair_208,-0.08705368
pair_209,0.090187145
pair_21,-0.067885907
pair_210,0.065971853
pair_211,-0.010378486
pair_212,0.013468567
pair_213,-0.014938579
pair_214,-0.036358445
pair_215,0.16387865
pair_216,0.099819839
pair_217,0.113477669
pair_218,0.036125047
pair_219,-0.047252825
pair_22,-0.043521961
pair_220,0.100544
pair_221,-0.010695537
pair_222,0.009775408
pair_223,-0.140319733
pair_224,-0.088971427
pair_225,-0.073329043
pair_226,-0.120979902
pair_227,0.017990271
pair_228,0.07335932
pair_229,-0.004851775
pair_23,-0.096834064
pair_230,-0.065952267
pair_231,-0.071153679
pair_232,-0.10374758
pair_233,-0.049684313
pair_234,0.042519681
pair_235,-0.06271253
pair_236,0.090627888
pair_237,0.016909002
pair_238,-0.028661936
pair_239,-0.034688795
pair_24,0.115917838
pair_240,-0.048251442
pair_241,0.048672622
pair_242,0.082553933
pair_243,0.042755682
pair_244,-0.050337218
pair_245,-0.068306264
pair_246,0.051189363
pair_247,-0.037676133
pair_248,-0.047893863
pair_249,-0.061468088
pair_25,-0.099399244
pair_250,0.134282823
pair_251,0.132460351
pair_252,0.180001007
pair_253,-0.07971392
pair_254,0.154244468
pair_255,0.060397168
pair_256,-0.06133574
pair_257,0.138557898
pair_258,0.187732699
pair_259,0.041527711
pair_26,-0.085538827
pair_260,0.122921483
pair_261,0.026003124
pair_262,-0.008511489
pair_263,0.089239045
pair_264,0.013547058
pair_265,0.039914099
pair_266,0.072570415
pair_267,0.12213022
pair_268,0.086913493
pair_269,0.070776273
pair_27,-0.084567869
pair_270,0.093302345
pair_271,0.091439259
pair_272,-0.173980636
pair_273,-0.002916638
pair_274,-0.047926181
pair_275,-0.095939295
pair_276,-0.109264178
pair_277,-0.191625369
pair_278,-0.012168581
pair_279,0.106853021
pair_28,0.091601901
pair_280,0.035981192
pair_281,0.224753587
pair_282,0.020697097
pair_283,0.126010591
pair_284,0.100159198
pair_285,-0.032175253
pair_286,-0.153845067
pair_287,0.083834222
pair_288,0.062632069
pair_289,-0.097206073
pair_29,0.169388353
pair_290,-0.109594171
pair_291,-0.153656546
pair_292,-0.161818057
pair_293,-0.13349093
pair_294,0.147276253
pair_295,-0.224357509
pair_296,-0.036066672
pair_297,-0.176405306
pair_298,0.068606629
pair_299,0.222603896
pair_3,-0.082463565
pair_30,0.104521343
pair_300,-0.194975002
pair_301,0.025111183
pair_302,-0.172679318
pair_303,-0.097734913
pair_304,-0.141089655
pair_305,-0.057881305
pair_306,-0.001078644
pair_307,-0.10309866
pair_308,0.066798838
pair_309,-0.109240935
pair_31,0.282313219
pair_310,0.033561731
pair_311,-0.031206548
pair_312,0.370999131
pair_313,-0.010512002
pair_314,-0.200778496
pair_315,0.106752029
pair_316,-0.086695129
pair_317,0.100470503
pair_318,0.003234898
pair_319,0.045804169
pair_32,-0.093572448
pair_320,0.058919288
pair_321,0.02437437
pair_322,0.159466608
pair_323,-0.184426262
pair_324,0.089424507
pair_325,-0.085517286
pair_326,-0.041841814
pair_327,-0.010142691
pair_328,-0.030162734
pair_329,-0.035575957
pair_33,-0.015500371
pair_330,0.114882889
pair_331,0.154432715
pair_332,-0.079424558
pair_333,0.047798588
pair_334,-0.06683313
pair_335,-0.005701127
pair_336,0.036453122
pair_337,0.015989202
pair_338,-0.037172924
pair_339,-0.098320054
pair_34,-0.032758331
pair_340,-0.055128949
pair_341,0.119821713
pair_342,0.066675064
pair_343,0.019226947
pair_344,-0.035226571
pair_345,-0.046937574
pair_346,0.35246177
pair_347,0.199055805
pair_348,0.104749704
pair_349,-0.053778781
pair_35,0.088636008
pair_350,-0.087299614
pair_351,0.002130152
pair_352,0.126827972
pair_353,0.018959225
pair_354,-0.090856911
pair_355,-0.110923308
pair_356,-0.022300701
pair_357,0.045426173
pair_358,0.031895108
pair_359,0.057987428
pair_36,-0.1330249
pair_360,-0.03976832
pair_361,0.153620401
pair_362,0.123429533
pair_363,0.003083103
pair_364,-0.043969405
pair_365,-0.056138374
pair_366,-0.203706275
pair_367,0.053915245
pair_368,0.130278186
pair_369,-0.091495475
pair_37,-0.141565791
pair_370,0.186943218
pair_371,0.005447837
pair_372,-0.008190613
pair_373,0.057602637
pair_374,0.113176402
pair_375,0.011952652
pair_376,0.025493938
pair_377,-0.040204391
pair_378,-0.051296013
pair_379,0.089320742
pair_38,-0.15035017
pair_380,-0.005736972
pair_381,-0.108394404
pair_382,0.062193379
pair_383,-0.03560675
pair_384,0.071090605
pair_385,-0.009896573
pair_386,-0.03771004
pair_387,0.011356545
pair_388,-0.081399871
pair_389,0.027159617
pair_39,0.032174384
pair_390,0.068806843
pair_391,0.042608773
pair_392,0.002719963
pair_393,0.124296468
pair_394,-0.012338854
pair_395,0.089025486
pair_396,-0.004308171
pair_397,0.494805875
pair_398,0.073217378
pair_399,0.582648527
pair_4,-0.112494355
pair_40,-0.159889836
pair_400,0.17964654
pair_401,0.071300481
pair_402,-0.019857361
pair_403,0.213300128
pair_404,-0.006362711
pair_405,0.222028596
pair_406,0.031666091
pair_407,-0.011543522
pair_408,0.035551013
pair_409,0.03974352
pair_41,-0.075794646
pair_410,0.071160258
pair_411,0.026361862
pair_412,0.343977497
pair_413,0.164716393
pair_414,0.198466667
pair_415,0.014584662
pair_416,0.041082918
pair_417,-0.072462046
pair_418,0.046269694
pair_419,-0.025330261
pair_42,-0.067404705
pair_420,0.082542137
pair_421,0.065544779
pair_422,-0.00038658
pair_423,-0.13992188
pair_424,-0.052896014
pair_425,-0.175267035
pair_426,-0.051420336
pair_427,0.00600567
pair_428,-0.142000404
pair_429,-0.030335774
pair_43,-0.188217817
pair_430,0.302051705
pair_431,0.103374393
pair_432,0.153370716
pair_433,0.021133596
pair_434,0.112898957
pair_435,0.231013142
pair_436,-0.057592594
pair_437,0.057513402
pair_438,0.016744678
pair_439,0.053949925
pair_44,-0.109024675
pair_440,-0.041353981
pair_441,-0.047490687
pair_442,0.077494353
pair_443,-0.031839372
pair_444,-0.050000956
pair_445,0.119633822
pair_446,0.088560553
pair_447,0.021622883
pair_448,-0.036482164
pair_449,-0.048349685
pair_45,-0.134347164
pair_450,-0.069771091
pair_451,-0.054036332
pair_452,0.080185666
pair_453,-0.006908054
pair_454,-0.080971515
pair_455,-0.113578994
pair_456,-0.072357083
pair_457,-0.035071667
pair_458,0.028152216
pair_459,-0.065073026
pair_46,0.104960528
pair_460,-0.099085876
pair_461,-0.076136208
pair_462,-0.032580684
pair_463,-0.032398229
pair_464,-0.160271742
pair_465,-0.119012003
pair_466,-0.034833573
pair_467,-0.121255591
pair_468,-0.066752406
pair_469,-0.080601994
pair_47,0.061206841
pair_470,-0.055133413
pair_471,0.126785862
pair_472,-0.011532726
pair_473,0.084126985
pair_474,0.005595018
pair_475,-0.099959699
pair_476,0.065859379
pair_477,-0.039536981
pair_478,0.001019802
pair_479,0.058876371
pair_48,0.085390792
pair_480,-0.013582768
pair_481,0.093154551
pair_482,0.527978331
pair_483,-0.070220905
pair_484,-0.101567707
pair_485,0.136045301
pair_486,0.139124118
pair_487,0.003129307
pair_488,0.149725919
pair_489,-0.028644151
pair_49,0.256625021
pair_490,-0.047620968
pair_491,0.002019129
pair_492,0.073675843
pair_493,0.007611109
pair_494,-0.019994866
pair_495,0.124093261
pair_496,-0.048887293
pair_497,0.083287995
pair_498,-0.015069495
pair_499,-0.065919315
pair_5,-0.065563612
pair_50,0.124888478
pair_500,0.05405956
pair_501,-0.027669529
pair_502,-0.018029619
pair_503,-0.081569168
pair_504,-0.125158863
pair_505,-0.045693395
pair_506,0.045800738
pair_507,0.030510986
pair_508,-0.024537822
pair_509,-0.058525129
pair_51,0.037353539
pair_510,-0.045639338
pair_511,-0.233559804
pair_512,-0.040629809
pair_513,-0.091075015
pair_514,-0.112057749
pair_515,-0.060273994
pair_516,-0.057838404
pair_517,-0.052087007
pair_518,0.041014448
pair_519,0.038399458
pair_52,0.108556533
pair_520,-0.066886852
pair_521,0.042419529
pair_522,-0.019336158
pair_523,-0.055261953
pair_524,-0.031203334
pair_525,0.035550845
pair_526,-0.030500104
pair_527,-0.114397382
pair_528,0.09200714
pair_529,0.017939844
pair_53,-0.026297945
pair_530,-0.069199177
pair_531,-0.060687115
pair_532,0.001416946
pair_533,0.106861168
pair_534,0.019260552
pair_535,0.034728668
pair_536,-0.008821173
pair_537,0.022713071
pair_538,0.034390889
pair_539,-0.164098234
pair_54,0.126517647
pair_540,-0.180460598
pair_541,0.016280189
pair_542,0.024573367
pair_543,-0.10097595
pair_544,-0.067256279
pair_545,0.04446646
pair_546,-0.05079949
pair_547,-0.109167214
pair_548,0.131981331
pair_549,-0.071518956
pair_55,-0.080181718
pair_550,-0.074285004
pair_551,-0.052858594
pair_552,-0.0645967
pair_553,-0.029872827
pair_554,-0.121728537
pair_555,-0.104866165
pair_556,0.114714255
pair_557,0.048376528
pair_558,-0.085581696
pair_559,0.008276948
pair_56,0.033172638
pair_560,0.003850945
pair_561,-0.008804085
pair_562,-0.072976105
pair_563,-0.072850148
pair_564,0.066746527
pair_565,0.277656483
pair_566,0.063350965
pair_567,0.095859985
pair_568,0.150993496
pair_569,0.143553852
pair_57,0.094456028
pair_570,-0.060033646
pair_571,0.078036111
