"pair_id","sent1_id","sent2_id","group","domain","gold"
"pair_1014","en_BlueRibbonSushi_478219453:0","en_BlueRibbonSushi_478219447:1","Same","restaurant",3
"pair_1015","en_BlueRibbonSushi_478219453:0","en_BlueRibbonSushi_479929856:1","Same","restaurant",3
"pair_1016","en_BlueRibbonSushi_478219453:1","en_BlueRibbonSushi_478218333:1","Different","restaurant",1.8
"pair_1017","en_BlueRibbonSushi_478219453:1","en_BlueRibbonSushi_478218333:2","Different","restaurant",1.25
"pair_1018","en_BlueRibbonSushi_478219453:1","en_BlueRibbonSushi_478218339:4","Different","restaurant",2.4
"pair_1019","en_BlueRibbonSushi_478219453:1","en_BlueRibbonSushi_478218517:3","Different","restaurant",1
"pair_102","B0074703CM_145_ANONYMOUS:4","B0074703CM_288_ANONYMOUS:0","Same","laptop",3
"pair_1020","en_BlueRibbonSushi_478219453:1","en_BlueRibbonSushi_478218518:3","Different","restaurant",3
"pair_1021","en_BlueRibbonSushi_478219453:1","en_BlueRibbonSushi_478218520:7","Different","restaurant",0.666666666666667
"pair_1022","en_BlueRibbonSushi_478219453:1","en_BlueRibbonSushi_478218524:2","Different","restaurant",1
"pair_1023","en_BlueRibbonSushi_478219453:1","en_BlueRibbonSushi_478219447:3","Different","restaurant",0.333333333333333
"pair_1024","en_BlueRibbonSushi_478219453:1","en_BlueRibbonSushi_478219453:4","Same","restaurant",3.75
"pair_1025","en_BlueRibbonSushi_478219453:4","en_BlueRibbonSushi_478218333:2","Different","restaurant",1
"pair_1026","en_BlueRibbonSushi_478219453:4","en_BlueRibbonSushi_478218339:4","Different","restaurant",2.25
"pair_1027","en_BlueRibbonSushi_478219453:4","en_BlueRibbonSushi_478218341:4","Different","restaurant",0.666666666666667
"pair_1028","en_BlueRibbonSushi_478219453:4","en_BlueRibbonSushi_478218517:3","Different","restaurant",0.75
"pair_1029","en_BlueRibbonSushi_478219453:4","en_BlueRibbonSushi_478218518:3","Different","restaurant",2.25
"pair_103","B0074703CM_145_ANONYMOUS:4","B0074703CM_314_ANONYMOUS:0","Different","laptop",0.333333333333333
"pair_1030","en_BlueRibbonSushi_478219453:4","en_BlueRibbonSushi_478218520:7","Different","restaurant",0.666666666666667
"pair_1031","en_BlueRibbonSushi_478219453:4","en_BlueRibbonSushi_478218524:2","Different","restaurant",0.5
"pair_1032","en_BlueRibbonSushi_478219453:4","en_BlueRibbonSushi_478219447:3","Different","restaurant",0.25
"pair_1033","en_BlueRibbonSushi_479929856:0","en_BlueRibbonSushi_478218340:0","Same","restaurant",3.66666666666667
"pair_1034","en_BlueRibbonSushi_479929856:0","en_BlueRibbonSushi_478218340:4","Same","restaurant",3.33333333333333
"pair_1035","en_BlueRibbonSushi_479929856:0","en_BlueRibbonSushi_478218340:5","Same","restaurant",3
"pair_1036","en_BlueRibbonSushi_479929856:1","en_BlueRibbonSushi_478218334:5","Different","restaurant",0.666666666666667
"pair_1037","en_BlueRibbonSushi_479929856:1","en_BlueRibbonSushi_478218340:0","Same","restaurant",2.4
"pair_1038","en_BlueRibbonSushi_479929856:1","en_BlueRibbonSushi_478218340:4","Same","restaurant",3
"pair_1039","en_BlueRibbonSushi_479929856:1","en_BlueRibbonSushi_478218517:0","Same","restaurant",3
"pair_104","B0074703CM_145_ANONYMOUS:4","B0074703CM_33_ANONYMOUS:0","Same","laptop",2.66666666666667
"pair_1040","en_BlueRibbonSushi_479929856:1","en_BlueRibbonSushi_478218524:7","Same","restaurant",3
"pair_1041","en_BlueRibbonSushi_479929856:1","en_BlueRibbonSushi_478218715:3","Same","restaurant",2.75
"pair_1042","en_BlueRibbonSushi_479929856:1","en_BlueRibbonSushi_478219447:2","Same","restaurant",2.33333333333333
"pair_1043","en_BlueRibbonSushi_479929856:2","en_BlueRibbonSushi_478218334:5","Different","restaurant",0.666666666666667
"pair_1044","en_BlueRibbonSushi_479929856:2","en_BlueRibbonSushi_478218340:0","Same","restaurant",3.33333333333333
"pair_1045","en_BlueRibbonSushi_479929856:2","en_BlueRibbonSushi_478218340:1","Same","restaurant",2.66666666666667
"pair_1046","en_BlueRibbonSushi_479929856:2","en_BlueRibbonSushi_478218340:3","Same","restaurant",3.33333333333333
"pair_1047","en_BlueRibbonSushi_479929856:2","en_BlueRibbonSushi_478218341:5","Same","restaurant",3.33333333333333
"pair_1048","en_BlueRibbonSushi_479929856:2","en_BlueRibbonSushi_478218513:2","Same","restaurant",3.25
"pair_1049","en_BlueRibbonSushi_479929856:2","en_BlueRibbonSushi_478218524:3","Same","restaurant",3
"pair_105","B0074703CM_148_ANONYMOUS:1","B0074703CM_173_ANONYMOUS:4","Different","laptop",1
"pair_1050","en_BlueRibbonSushi_479929856:2","en_BlueRibbonSushi_478218524:5","Same","restaurant",2.66666666666667
"pair_1051","en_BlueRibbonSushi_479929856:3","en_BlueRibbonSushi_478218337:3","Same","restaurant",2.4
"pair_1052","en_BlueRibbonSushi_479929856:3","en_BlueRibbonSushi_478218341:3","Same","restaurant",3.33333333333333
"pair_1053","en_BlueRibbonSushi_479929856:3","en_BlueRibbonSushi_478218519:0","Same","restaurant",3
"pair_1054","en_BlueRibbonSushi_479929856:3","en_BlueRibbonSushi_478218520:1","Same","restaurant",3
"pair_1055","en_BlueRibbonSushi_479929856:3","en_BlueRibbonSushi_478218524:3","Same","restaurant",3
"pair_1056","en_BlueRibbonSushi_479929856:3","en_BlueRibbonSushi_478219447:1","Same","restaurant",2.5
"pair_1057","en_BlueRibbonSushi_479929856:6","en_BlueRibbonSushi_478218333:3","Same","restaurant",3.75
"pair_1058","en_BlueRibbonSushi_479929856:6","en_BlueRibbonSushi_478218334:2","Different","restaurant",1.33333333333333
"pair_1059","en_BlueRibbonSushi_479929856:6","en_BlueRibbonSushi_478218334:7","Different","restaurant",0.5
"pair_106","B0074703CM_148_ANONYMOUS:1","B0074703CM_192_ANONYMOUS:14","Same","laptop",3
"pair_1060","en_BlueRibbonSushi_479929856:6","en_BlueRibbonSushi_478218337:4","Same","restaurant",3.4
"pair_1061","en_BlueRibbonSushi_479929856:6","en_BlueRibbonSushi_478218339:5","Same","restaurant",3.5
"pair_1062","en_BlueRibbonSushi_479929856:6","en_BlueRibbonSushi_478218341:2","Same","restaurant",1.33333333333333
"pair_1063","en_BlueRibbonSushi_479929856:6","en_BlueRibbonSushi_478218342:0","Same","restaurant",3.25
"pair_1064","en_BlueRibbonSushi_479929856:6","en_BlueRibbonSushi_478218342:4","Same","restaurant",3
"pair_1065","en_BlueRibbonSushi_479929856:6","en_BlueRibbonSushi_478218342:5","Same","restaurant",3.25
"pair_1066","en_BlueRibbonSushi_479929856:6","en_BlueRibbonSushi_478218342:6","Same","restaurant",2.5
"pair_1067","en_BlueRibbonSushi_479929856:6","en_BlueRibbonSushi_478218509:2","Same","restaurant",3
"pair_1068","en_BlueRibbonSushi_479929856:6","en_BlueRibbonSushi_478218512:0","Same","restaurant",3
"pair_1069","en_BlueRibbonSushi_479929856:6","en_BlueRibbonSushi_478218513:0","Same","restaurant",3.33333333333333
"pair_107","B0074703CM_148_ANONYMOUS:1","B0074703CM_224_ANONYMOUS:15","Same","laptop",2.75
"pair_1070","en_BlueRibbonSushi_479929856:6","en_BlueRibbonSushi_478218518:1","Same","restaurant",2.75
"pair_1071","en_BlueRibbonSushi_479929856:6","en_BlueRibbonSushi_478218519:3","Same","restaurant",3
"pair_1072","en_BlueRibbonSushi_479929856:6","en_BlueRibbonSushi_478218524:0","Same","restaurant",3.33333333333333
"pair_1073","en_BlueRibbonSushi_479929856:6","en_BlueRibbonSushi_478218715:2","Same","restaurant",2.5
"pair_1074","en_BlueRibbonSushi_479929856:6","en_BlueRibbonSushi_478218901:0","Different","restaurant",0.6
"pair_1075","en_BlueRibbonSushi_479929856:6","en_BlueRibbonSushi_478218901:2","Different","restaurant",0.333333333333333
"pair_1076","en_CatalRestaurant__UvaBar_477861889:4","en_CatalRestaurant__UvaBar_477861893:0","Different","restaurant",1.33333333333333
"pair_1077","en_CatalRestaurant__UvaBar_477861889:4","en_CatalRestaurant__UvaBar_477862052:5","Different","restaurant",1.5
"pair_1078","en_CatalRestaurant__UvaBar_477861889:6","en_CatalRestaurant__UvaBar_477862052:11","Different","restaurant",2
"pair_1079","en_CatalRestaurant__UvaBar_477861889:6","en_CatalRestaurant__UvaBar_477862052:9","Different","restaurant",1.5
"pair_108","B0074703CM_148_ANONYMOUS:1","B0074703CM_251_ANONYMOUS:10","Same","laptop",2.66666666666667
"pair_1080","en_CatalRestaurant__UvaBar_477861893:0","en_CatalRestaurant__UvaBar_477862052:5","Same","restaurant",3
"pair_1081","en_CatalRestaurant__UvaBar_477862052:9","en_CatalRestaurant__UvaBar_477862052:11","Same","restaurant",1.66666666666667
"pair_1082","en_India'sGrill_477960693:0","en_India'sGrill_477960694:4","Same","restaurant",2.5
"pair_1083","en_India'sGrill_477960693:0","en_India'sGrill_477960698:1","Same","restaurant",3
"pair_1084","en_India'sGrill_477960693:3","en_India'sGrill_477960696:5","Same","restaurant",3
"pair_1085","en_India'sGrill_477960693:3","en_India'sGrill_477960696:6","Same","restaurant",3
"pair_1086","en_India'sGrill_477960693:3","en_India'sGrill_477960698:8","Same","restaurant",2
"pair_1087","en_India'sGrill_477960693:4","en_India'sGrill_477960694:4","Same","restaurant",3.33333333333333
"pair_1088","en_India'sGrill_477960693:4","en_India'sGrill_477960696:2","Same","restaurant",2.75
"pair_1089","en_India'sGrill_477960694:0","en_India'sGrill_477960696:0","Same","restaurant",2.75
"pair_109","B0074703CM_148_ANONYMOUS:1","B0074703CM_282_ANONYMOUS:7","Different","laptop",1.33333333333333
"pair_1090","en_India'sGrill_477960694:2","en_India'sGrill_477960694:6","Same","restaurant",2.66666666666667
"pair_1091","en_India'sGrill_477960694:2","en_India'sGrill_477960698:4","Different","restaurant",1
"pair_1092","en_India'sGrill_477960694:2","en_India'sGrill_477960698:9","Same","restaurant",2.75
"pair_1093","en_India'sGrill_477960694:3","en_India'sGrill_477960694:4","Same","restaurant",3
"pair_1094","en_India'sGrill_477960694:3","en_India'sGrill_477960698:5","Different","restaurant",3
"pair_1095","en_India'sGrill_477960694:4","en_India'sGrill_477960698:8","Same","restaurant",2.75
"pair_1096","en_India'sGrill_477960694:6","en_India'sGrill_477960698:4","Different","restaurant",1.5
"pair_1097","en_India'sGrill_477960694:6","en_India'sGrill_477960698:9","Same","restaurant",3.5
"pair_1098","en_India'sGrill_477960696:2","en_India'sGrill_477960696:5","Same","restaurant",3.25
"pair_1099","en_India'sGrill_477960698:1","en_India'sGrill_477960696:5","Same","restaurant",3.25
"pair_11","B0074703CM_102_ANONYMOUS:4","B0074703CM_159_ANONYMOUS:2","Same","laptop",3
"pair_110","B0074703CM_148_ANONYMOUS:1","B0074703CM_73_ANONYMOUS:15","Same","laptop",2.66666666666667
"pair_1100","en_India'sGrill_477960698:2","en_India'sGrill_477960696:2","Same","restaurant",3.4
"pair_1101","en_India'sGrill_477960698:2","en_India'sGrill_477960696:5","Same","restaurant",3
"pair_1102","en_India'sGrill_477960698:2","en_India'sGrill_477960698:8","Same","restaurant",3
"pair_1103","en_India'sGrill_477960698:4","en_India'sGrill_477960698:9","Different","restaurant",1.33333333333333
"pair_1104","en_India'sGrill_477960698:5","en_India'sGrill_477960698:8","Different","restaurant",2
"pair_1105","en_India'sGrill_477960698:7","en_India'sGrill_477960696:6","Same","restaurant",3
"pair_1106","en_India'sGrill_477960698:8","en_India'sGrill_477960696:1","Same","restaurant",3.25
"pair_1107","en_India'sGrill_477960698:8","en_India'sGrill_477960696:2","Same","restaurant",2.75
"pair_1108","en_India'sGrill_477960698:8","en_India'sGrill_477960696:6","Same","restaurant",2.75
"pair_1109","en_MercedesRestaurant_478010601:0","en_MercedesRestaurant_478010600:0","Same","restaurant",3.25
"pair_111","B0074703CM_148_ANONYMOUS:1","B0074703CM_73_ANONYMOUS:2","Same","laptop",2.66666666666667
"pair_1110","en_MercedesRestaurant_478010601:0","en_MercedesRestaurant_478010601:1","Same","restaurant",3.5
"pair_1111","en_MercedesRestaurant_478010601:0","en_MercedesRestaurant_478010602:1","Same","restaurant",3.6
"pair_1112","en_MercedesRestaurant_478010601:0","en_MercedesRestaurant_478010603:1","Same","restaurant",3
"pair_1113","en_MercedesRestaurant_478010601:1","en_MercedesRestaurant_478010602:1","Same","restaurant",2.25
"pair_1114","en_MercedesRestaurant_478010601:2","en_MercedesRestaurant_478010600:1","Same","restaurant",2.4
"pair_1115","en_MercedesRestaurant_478010601:2","en_MercedesRestaurant_478010601:5","Same","restaurant",2.75
"pair_1116","en_MercedesRestaurant_478010601:5","en_MercedesRestaurant_478010600:1","Same","restaurant",2.5
"pair_1117","en_MercedesRestaurant_478010602:0","en_MercedesRestaurant_478010600:4","Same","restaurant",3
"pair_1118","en_MercedesRestaurant_478010602:1","en_MercedesRestaurant_478010600:0","Same","restaurant",3
"pair_1119","en_MercedesRestaurant_478010603:2","en_MercedesRestaurant_478010600:4","Same","restaurant",2.75
"pair_112","B0074703CM_148_ANONYMOUS:36","B0074703CM_157_ANONYMOUS:12","Different","laptop",1.5
"pair_1120","en_MercedesRestaurant_478010603:2","en_MercedesRestaurant_478010602:0","Same","restaurant",3
"pair_1121","en_MercedesRestaurant_478010603:3","en_MercedesRestaurant_478010602:0","Same","restaurant",3
"pair_1122","en_MercedesRestaurant_478010605:2","en_MercedesRestaurant_478010600:1","Same","restaurant",4
"pair_1123","en_MercedesRestaurant_478010605:2","en_MercedesRestaurant_478010601:2","Same","restaurant",3
"pair_1124","en_MercedesRestaurant_478010605:2","en_MercedesRestaurant_478010601:5","Same","restaurant",2.5
"pair_1125","en_MercedesRestaurant_478010605:2","en_MercedesRestaurant_478010605:3","Same","restaurant",3.5
"pair_1126","en_MercedesRestaurant_478010605:3","en_MercedesRestaurant_478010600:1","Same","restaurant",3
"pair_1127","en_MercedesRestaurant_478010605:3","en_MercedesRestaurant_478010601:2","Same","restaurant",2.33333333333333
"pair_1128","en_MercedesRestaurant_478010605:3","en_MercedesRestaurant_478010601:5","Same","restaurant",1.66666666666667
"pair_1129","en_MercedesRestaurant_478010605:4","en_MercedesRestaurant_478010600:4","Same","restaurant",3
"pair_113","B0074703CM_148_ANONYMOUS:36","B0074703CM_234_ANONYMOUS:0","Same","laptop",3.25
"pair_1130","en_MercedesRestaurant_478010605:5","en_MercedesRestaurant_478010600:0","Same","restaurant",3
"pair_1131","en_MercedesRestaurant_478010605:5","en_MercedesRestaurant_478010601:1","Same","restaurant",2.6
"pair_1132","en_MercedesRestaurant_478010605:5","en_MercedesRestaurant_480852899:0","Different","restaurant",1.5
"pair_1133","en_MercedesRestaurant_478010605:5","en_MercedesRestaurant_480852899:3","Different","restaurant",1.75
"pair_1134","en_MercedesRestaurant_480852899:0","en_MercedesRestaurant_478010601:0","Different","restaurant",1
"pair_1135","en_MercedesRestaurant_480852899:0","en_MercedesRestaurant_478010601:1","Different","restaurant",1.66666666666667
"pair_1136","en_MercedesRestaurant_480852899:0","en_MercedesRestaurant_478010603:1","Different","restaurant",1
"pair_1137","en_MercedesRestaurant_480852899:0","en_MercedesRestaurant_480852899:3","Same","restaurant",2.33333333333333
"pair_1138","en_MercedesRestaurant_480852899:3","en_MercedesRestaurant_478010600:0","Different","restaurant",1.5
"pair_1139","en_MercedesRestaurant_480852899:3","en_MercedesRestaurant_478010603:1","Different","restaurant",1.25
"pair_114","B0074703CM_148_ANONYMOUS:36","B0074703CM_6_ANONYMOUS:10","Same","laptop",2.66666666666667
"pair_1140","en_MiopostoCaffe_478542919:10","en_MiopostoCaffe_478542921:2","Different","restaurant",2
"pair_1141","en_MiopostoCaffe_478542919:10","en_MiopostoCaffe_478542921:3","Different","restaurant",2.25
"pair_1142","en_MiopostoCaffe_478542919:10","en_MiopostoCaffe_478542922:0","Different","restaurant",1.5
"pair_1143","en_MiopostoCaffe_478542919:10","en_MiopostoCaffe_478542922:1","Different","restaurant",1.25
"pair_1144","en_MiopostoCaffe_478542919:10","en_MiopostoCaffe_478542922:2","Different","restaurant",1.33333333333333
"pair_1145","en_MiopostoCaffe_478542919:10","en_MiopostoCaffe_479702043:7","Different","restaurant",2.25
"pair_1146","en_MiopostoCaffe_478542919:3","en_MiopostoCaffe_478542919:4","Same","restaurant",3
"pair_1147","en_MiopostoCaffe_478542919:3","en_MiopostoCaffe_478542919:6","Same","restaurant",2.33333333333333
"pair_1148","en_MiopostoCaffe_478542919:3","en_MiopostoCaffe_478542921:0","Same","restaurant",3
"pair_1149","en_MiopostoCaffe_478542919:3","en_MiopostoCaffe_478542921:1","Same","restaurant",2.33333333333333
"pair_115","B0074703CM_149_ANONYMOUS:0","B0074703CM_6_ANONYMOUS:1","Different","laptop",0.666666666666667
"pair_1150","en_MiopostoCaffe_478542919:3","en_MiopostoCaffe_478542922:3","Same","restaurant",2.5
"pair_1151","en_MiopostoCaffe_478542919:3","en_MiopostoCaffe_478542922:4","Same","restaurant",3
"pair_1152","en_MiopostoCaffe_478542919:3","en_MiopostoCaffe_478542922:5","Same","restaurant",3
"pair_1153","en_MiopostoCaffe_478542919:3","en_MiopostoCaffe_478542922:6","Same","restaurant",3
"pair_1154","en_MiopostoCaffe_478542919:3","en_MiopostoCaffe_478543072:4","Different","restaurant",2
"pair_1155","en_MiopostoCaffe_478542919:4","en_MiopostoCaffe_478542919:6","Same","restaurant",3
"pair_1156","en_MiopostoCaffe_478542919:4","en_MiopostoCaffe_478542921:0","Same","restaurant",2.75
"pair_1157","en_MiopostoCaffe_478542919:4","en_MiopostoCaffe_478542921:1","Same","restaurant",3
"pair_1158","en_MiopostoCaffe_478542919:4","en_MiopostoCaffe_478542922:3","Same","restaurant",2.33333333333333
"pair_1159","en_MiopostoCaffe_478542919:4","en_MiopostoCaffe_478542922:4","Same","restaurant",3.25
"pair_116","B0074703CM_149_ANONYMOUS:11","B0074703CM_149_ANONYMOUS:12","Same","laptop",2.5
"pair_1160","en_MiopostoCaffe_478542919:4","en_MiopostoCaffe_478542922:5","Same","restaurant",3
"pair_1161","en_MiopostoCaffe_478542919:4","en_MiopostoCaffe_478542922:6","Same","restaurant",3.25
"pair_1162","en_MiopostoCaffe_478542919:4","en_MiopostoCaffe_478543072:4","Different","restaurant",1
"pair_1163","en_MiopostoCaffe_478542919:6","en_MiopostoCaffe_478542921:0","Same","restaurant",3
"pair_1164","en_MiopostoCaffe_478542919:6","en_MiopostoCaffe_478542921:1","Same","restaurant",2.5
"pair_1165","en_MiopostoCaffe_478542919:6","en_MiopostoCaffe_478542922:3","Same","restaurant",2.5
"pair_1166","en_MiopostoCaffe_478542919:6","en_MiopostoCaffe_478542922:4","Same","restaurant",3
"pair_1167","en_MiopostoCaffe_478542919:6","en_MiopostoCaffe_478542922:5","Same","restaurant",2
"pair_1168","en_MiopostoCaffe_478542919:6","en_MiopostoCaffe_478542922:6","Same","restaurant",2.33333333333333
"pair_1169","en_MiopostoCaffe_478542919:6","en_MiopostoCaffe_478543072:4","Different","restaurant",0.666666666666667
"pair_117","B0074703CM_149_ANONYMOUS:11","B0074703CM_149_ANONYMOUS:14","Same","laptop",1.66666666666667
"pair_1170","en_MiopostoCaffe_478542919:8","en_MiopostoCaffe_478542922:0","Different","restaurant",2.33333333333333
"pair_1171","en_MiopostoCaffe_478542919:8","en_MiopostoCaffe_479702043:6","Different","restaurant",0.75
"pair_1172","en_MiopostoCaffe_478542920:1","en_MiopostoCaffe_478542919:8","Different","restaurant",1
"pair_1173","en_MiopostoCaffe_478542920:5","en_MiopostoCaffe_478542919:3","Different","restaurant",1
"pair_1174","en_MiopostoCaffe_478542920:5","en_MiopostoCaffe_478542919:4","Different","restaurant",0.666666666666667
"pair_1175","en_MiopostoCaffe_478542920:5","en_MiopostoCaffe_478542919:6","Different","restaurant",0.75
"pair_1176","en_MiopostoCaffe_478542920:5","en_MiopostoCaffe_478542921:0","Different","restaurant",1
"pair_1177","en_MiopostoCaffe_478542920:5","en_MiopostoCaffe_478542921:1","Different","restaurant",1
"pair_1178","en_MiopostoCaffe_478542920:5","en_MiopostoCaffe_478542922:3","Different","restaurant",0.75
"pair_1179","en_MiopostoCaffe_478542920:5","en_MiopostoCaffe_478542922:4","Different","restaurant",0.75
"pair_118","B0074703CM_149_ANONYMOUS:11","B0074703CM_149_ANONYMOUS:15","Same","laptop",1.75
"pair_1180","en_MiopostoCaffe_478542920:5","en_MiopostoCaffe_478542922:5","Different","restaurant",1.2
"pair_1181","en_MiopostoCaffe_478542920:5","en_MiopostoCaffe_478542922:6","Different","restaurant",0.8
"pair_1182","en_MiopostoCaffe_478542920:5","en_MiopostoCaffe_478543072:4","Same","restaurant",3.8
"pair_1183","en_MiopostoCaffe_478542920:7","en_MiopostoCaffe_478542919:10","Different","restaurant",2
"pair_1184","en_MiopostoCaffe_478542920:7","en_MiopostoCaffe_478542919:8","Different","restaurant",1.5
"pair_1185","en_MiopostoCaffe_478542920:7","en_MiopostoCaffe_478542921:3","Different","restaurant",1.5
"pair_1186","en_MiopostoCaffe_478542920:7","en_MiopostoCaffe_478542922:1","Same","restaurant",2.25
"pair_1187","en_MiopostoCaffe_478542920:7","en_MiopostoCaffe_479702043:6","Same","restaurant",3
"pair_1188","en_MiopostoCaffe_478542920:7","en_MiopostoCaffe_479702043:9","Same","restaurant",3
"pair_1189","en_MiopostoCaffe_478542921:0","en_MiopostoCaffe_478542921:1","Same","restaurant",3
"pair_119","B0074703CM_149_ANONYMOUS:11","B0074703CM_149_ANONYMOUS:16","Same","laptop",2.5
"pair_1190","en_MiopostoCaffe_478542921:0","en_MiopostoCaffe_478542922:3","Same","restaurant",3.66666666666667
"pair_1191","en_MiopostoCaffe_478542921:0","en_MiopostoCaffe_478542922:4","Same","restaurant",3
"pair_1192","en_MiopostoCaffe_478542921:0","en_MiopostoCaffe_478542922:5","Same","restaurant",2.25
"pair_1193","en_MiopostoCaffe_478542921:0","en_MiopostoCaffe_478542922:6","Same","restaurant",3.4
"pair_1194","en_MiopostoCaffe_478542921:0","en_MiopostoCaffe_478543072:4","Different","restaurant",1
"pair_1195","en_MiopostoCaffe_478542921:1","en_MiopostoCaffe_478542922:3","Same","restaurant",2
"pair_1196","en_MiopostoCaffe_478542921:1","en_MiopostoCaffe_478542922:4","Same","restaurant",2.75
"pair_1197","en_MiopostoCaffe_478542921:1","en_MiopostoCaffe_478542922:5","Same","restaurant",2.25
"pair_1198","en_MiopostoCaffe_478542921:1","en_MiopostoCaffe_478542922:6","Same","restaurant",3
"pair_1199","en_MiopostoCaffe_478542921:1","en_MiopostoCaffe_478543072:4","Different","restaurant",1
"pair_12","B0074703CM_102_ANONYMOUS:4","B0074703CM_173_ANONYMOUS:4","Different","laptop",0.75
"pair_120","B0074703CM_149_ANONYMOUS:11","B0074703CM_257_ANONYMOUS:4","Same","laptop",2
"pair_1200","en_MiopostoCaffe_478542921:2","en_MiopostoCaffe_478542922:0","Different","restaurant",2.33333333333333
"pair_1201","en_MiopostoCaffe_478542921:2","en_MiopostoCaffe_478542922:2","Different","restaurant",2
"pair_1202","en_MiopostoCaffe_478542921:2","en_MiopostoCaffe_479702043:6","Different","restaurant",2
"pair_1203","en_MiopostoCaffe_478542921:2","en_MiopostoCaffe_479702043:7","Different","restaurant",2.5
"pair_1204","en_MiopostoCaffe_478542921:2","en_MiopostoCaffe_479702043:9","Different","restaurant",1.66666666666667
"pair_1205","en_MiopostoCaffe_478542921:3","en_MiopostoCaffe_478542922:0","Different","restaurant",1
"pair_1206","en_MiopostoCaffe_478542921:3","en_MiopostoCaffe_478542922:1","Different","restaurant",1
"pair_1207","en_MiopostoCaffe_478542921:3","en_MiopostoCaffe_478542922:2","Different","restaurant",1.66666666666667
"pair_1208","en_MiopostoCaffe_478542921:3","en_MiopostoCaffe_479702043:2","Different","restaurant",1.66666666666667
"pair_1209","en_MiopostoCaffe_478542921:3","en_MiopostoCaffe_479702043:6","Different","restaurant",2.25
"pair_121","B0074703CM_149_ANONYMOUS:11","B0074703CM_257_ANONYMOUS:5","Different","laptop",2
"pair_1210","en_MiopostoCaffe_478542921:3","en_MiopostoCaffe_479702043:7","Different","restaurant",1
"pair_1211","en_MiopostoCaffe_478542922:2","en_MiopostoCaffe_479702043:2","Same","restaurant",2.33333333333333
"pair_1212","en_MiopostoCaffe_478542922:2","en_MiopostoCaffe_479702043:7","Same","restaurant",2.66666666666667
"pair_1213","en_MiopostoCaffe_478542922:3","en_MiopostoCaffe_478542922:4","Same","restaurant",3.25
"pair_1214","en_MiopostoCaffe_478542922:3","en_MiopostoCaffe_478542922:5","Same","restaurant",3
"pair_1215","en_MiopostoCaffe_478542922:3","en_MiopostoCaffe_478542922:6","Same","restaurant",2.66666666666667
"pair_1216","en_MiopostoCaffe_478542922:4","en_MiopostoCaffe_478542922:5","Same","restaurant",0.75
"pair_1217","en_MiopostoCaffe_478542922:4","en_MiopostoCaffe_478542922:6","Same","restaurant",3.25
"pair_1218","en_MiopostoCaffe_478542922:4","en_MiopostoCaffe_478543072:4","Different","restaurant",0.666666666666667
"pair_1219","en_MiopostoCaffe_478542922:5","en_MiopostoCaffe_478542922:6","Same","restaurant",2.33333333333333
"pair_122","B0074703CM_149_ANONYMOUS:12","B0074703CM_149_ANONYMOUS:13","Same","laptop",2
"pair_1220","en_MiopostoCaffe_478542922:5","en_MiopostoCaffe_478543072:4","Different","restaurant",2
"pair_1221","en_MiopostoCaffe_478542922:6","en_MiopostoCaffe_478543072:4","Different","restaurant",1
"pair_1222","en_MiopostoCaffe_478543071:0","en_MiopostoCaffe_478542919:8","Different","restaurant",1
