pair_id,sent1_text,sent2_text,domain,group,avg
pair_1013,I have eaten here three times and have found the quality and variety of the fish to be excellent.,– The food was not great & the waiters were rude.,Restaurant,Different,1.5
pair_1014,I have eaten here three times and have found the quality and variety of the fish to be excellent.,you are with a hot date and he/she has an urge for sushi...then this might be the place.,Restaurant,Same,3
pair_1015,I have eaten here three times and have found the quality and variety of the fish to be excellent.,They pay such detail to everything from miso soup to complex rolls.,Restaurant,Same,3
pair_1016,"However, the value and service are both severely lacking.","plus, i am allergic to rice, and the waitstaff was unbelievably accomodating -- didn't even bat an eye!",Restaurant,Different,1.8
pair_1017,"However, the value and service are both severely lacking.",and the waiter suggested a perfect sake!!,Restaurant,Different,1.25
pair_1018,"However, the value and service are both severely lacking.","The only problem would be the wait, but we usually just have a drink in the front while waiting.",Restaurant,Different,2.4
pair_1019,"However, the value and service are both severely lacking.",The nicest waiters in town.,Restaurant,Different,1
pair_102,I would recommend it to anyone.,"Out of all the laptops I have owned, this is by far the best!",Laptop,Same,3
pair_1020,"However, the value and service are both severely lacking.","On weekends, you might have to wait for couple hours.",Restaurant,Different,3
pair_1021,"However, the value and service are both severely lacking.",The service was courteous and attentive.,Restaurant,Different,0.666666667
pair_1022,"However, the value and service are both severely lacking.",6pm on a Sat before a Broadway play and we were quickly seated and served.,Restaurant,Different,1
pair_1023,"However, the value and service are both severely lacking.",great service.,Restaurant,Different,0.333333333
pair_1024,"However, the value and service are both severely lacking.",The service ranges from mediocre to offensive.,Restaurant,Same,3.75
pair_1025,The service ranges from mediocre to offensive.,and the waiter suggested a perfect sake!!,Restaurant,Different,1
pair_1026,The service ranges from mediocre to offensive.,"The only problem would be the wait, but we usually just have a drink in the front while waiting.",Restaurant,Different,2.25
pair_1027,The service ranges from mediocre to offensive.,The waiters are very experienced and helpful with pairing your drink choice to your food tastes or vice versa.,Restaurant,Different,0.666666667
pair_1028,The service ranges from mediocre to offensive.,The nicest waiters in town.,Restaurant,Different,0.75
pair_1029,The service ranges from mediocre to offensive.,"On weekends, you might have to wait for couple hours.",Restaurant,Different,2.25
pair_103,I would recommend it to anyone.,The most disappointing purchase of my life!,Laptop,Different,0.333333333
pair_1030,The service ranges from mediocre to offensive.,The service was courteous and attentive.,Restaurant,Different,0.666666667
pair_1031,The service ranges from mediocre to offensive.,6pm on a Sat before a Broadway play and we were quickly seated and served.,Restaurant,Different,0.5
pair_1032,The service ranges from mediocre to offensive.,great service.,Restaurant,Different,0.25
pair_1033,Freshest sushi  – I love this restaurant.,Unbeatable sushi!,Restaurant,Same,3.666666667
pair_1034,Freshest sushi  – I love this restaurant.,"Melt in your mouth nigiri and sashmi, and very tasty rolls too.",Restaurant,Same,3.333333333
pair_1035,Freshest sushi  – I love this restaurant.,Be sure to try the oyster roll.,Restaurant,Same,3
pair_1036,They pay such detail to everything from miso soup to complex rolls.,"I have been here, spent tons of money on a chef special dinner and it was a major dissappointment.",Restaurant,Different,0.666666667
pair_1037,They pay such detail to everything from miso soup to complex rolls.,Unbeatable sushi!,Restaurant,Same,2.4
pair_1038,They pay such detail to everything from miso soup to complex rolls.,"Melt in your mouth nigiri and sashmi, and very tasty rolls too.",Restaurant,Same,3
pair_1039,They pay such detail to everything from miso soup to complex rolls.,"Best food, phenominal service ",Restaurant,Same,3
pair_104,I would recommend it to anyone.,This computer is like...  I'm lost for words.,Laptop,Same,2.666666667
pair_1040,They pay such detail to everything from miso soup to complex rolls.,Green tea creme brulee gets better each time I have it.,Restaurant,Same,3
pair_1041,They pay such detail to everything from miso soup to complex rolls.,The best Chuwam Mushi I have ever had.,Restaurant,Same,2.75
pair_1042,They pay such detail to everything from miso soup to complex rolls.,"the fish was fresh, though it was cut very thin.",Restaurant,Same,2.333333333
pair_1043,The sashimi was the freshest and most tender I have ever tasted.,"I have been here, spent tons of money on a chef special dinner and it was a major dissappointment.",Restaurant,Different,0.666666667
pair_1044,The sashimi was the freshest and most tender I have ever tasted.,Unbeatable sushi!,Restaurant,Same,3.333333333
pair_1045,The sashimi was the freshest and most tender I have ever tasted.,Two thumbs up!,Restaurant,Same,2.666666667
pair_1046,The sashimi was the freshest and most tender I have ever tasted.,This is right up there with places in Tokyo as far as the freshness is concerned.,Restaurant,Same,3.333333333
pair_1047,The sashimi was the freshest and most tender I have ever tasted.,"The sushi is as fresh as it comes?you'd think ocean was in their backyard, no joke!",Restaurant,Same,3.333333333
pair_1048,The sashimi was the freshest and most tender I have ever tasted.,The sushi was excellent and the wait staff was quick.,Restaurant,Same,3.25
pair_1049,The sashimi was the freshest and most tender I have ever tasted.,Amazing Spanish Mackeral special appetizer and perfect box sushi (that eel with avodcao -- um um um).,Restaurant,Same,3
pair_105,"Boot time is super fast, around anywhere from 35 seconds to 1 minute.",From time to time I get the 'spinning beach ball' that holds up progress.,Laptop,Different,1
pair_1050,The sashimi was the freshest and most tender I have ever tasted.,"Their specialty rolls are impressive, though I can't remember what we had.",Restaurant,Same,2.666666667
pair_1051,Their apps are all delicious.,had many dishes but the BEST was the lobster 3 ways.,Restaurant,Same,2.4
pair_1052,Their apps are all delicious.,"Everything, and I mean everything on the menu is delectable.",Restaurant,Same,3.333333333
pair_1053,Their apps are all delicious.,Best Sushi in town.,Restaurant,Same,3
pair_1054,Their apps are all delicious.,The sushi here is delicious!,Restaurant,Same,3
pair_1055,Their apps are all delicious.,Amazing Spanish Mackeral special appetizer and perfect box sushi (that eel with avodcao -- um um um).,Restaurant,Same,3
pair_1056,Their apps are all delicious.,you are with a hot date and he/she has an urge for sushi...then this might be the place.,Restaurant,Same,2.5
pair_1057,You are bound to have a very charming time.,absolutely fabulous!!!,Restaurant,Same,3.75
pair_1058,You are bound to have a very charming time.,I don't know why anyone would want to write a great review about this place.,Restaurant,Different,1.333333333
pair_1059,You are bound to have a very charming time.,DONOT GO!,Restaurant,Different,0.5
pair_106,"Boot time is super fast, around anywhere from 35 seconds to 1 minute.","Pros:  o It usually runs very smoothly, but Apple has an excellent support team that is always willing to help customers.",Laptop,Same,3
pair_1060,You are bound to have a very charming time.,VERY GOOD!,Restaurant,Same,3.4
pair_1061,You are bound to have a very charming time.,Never had one single problem there.,Restaurant,Same,3.5
pair_1062,You are bound to have a very charming time.,"Once you're inside, the real experience begins.",Restaurant,Same,1.333333333
pair_1063,You are bound to have a very charming time.,Cut to the chase - this is amazing!,Restaurant,Same,3.25
pair_1064,You are bound to have a very charming time.,Blue Ribbon lives up to it's fantastic reputation.,Restaurant,Same,3
pair_1065,You are bound to have a very charming time.,I went here on a recommendation and will surely return time and time again.,Restaurant,Same,3.25
pair_1066,You are bound to have a very charming time.,What a find!,Restaurant,Same,2.5
pair_1067,You are bound to have a very charming time.,"There is only one place on the east coast that has it all, plus a lot more.",Restaurant,Same,3
pair_1068,You are bound to have a very charming time.,Well worth it ,Restaurant,Same,3
pair_1069,You are bound to have a very charming time.,I went there with a friend from out of town... and we were both very impressed!,Restaurant,Same,3.333333333
pair_107,"Boot time is super fast, around anywhere from 35 seconds to 1 minute.","Well she was right, Whatever in the world took me so long to get a computer that just works.",Laptop,Same,2.75
pair_1070,You are bound to have a very charming time.,One of the best Sushi place in town.,Restaurant,Same,2.75
pair_1071,You are bound to have a very charming time.,"Its worth the wait, especially since they'll give you a call when the table is ready.",Restaurant,Same,3
pair_1072,You are bound to have a very charming time.,Always good.,Restaurant,Same,3.333333333
pair_1073,You are bound to have a very charming time.,"I can't saybenough good things about this restaurant, and I can't wait for my next several visits.",Restaurant,Same,2.5
pair_1074,You are bound to have a very charming time.,Not recommanded!!!,Restaurant,Different,0.6
pair_1075,You are bound to have a very charming time.,It is not worth going at all and spend your money there!!!,Restaurant,Different,0.333333333
pair_1076,My g/f and I both agreed the food was very mediocre especially considering the price.,"Excellent food, nice ambience, fairly expensive",Restaurant,Different,1.333333333
pair_1077,My g/f and I both agreed the food was very mediocre especially considering the price.,"The appetizer was interesting, but the Creme Brulee was very savory and delicious.",Restaurant,Different,1.5
pair_1078,Service was decent.,"Should check-up on us more frequently, don't you think?",Restaurant,Different,2
pair_1079,Service was decent.,Although the service could be improved considering the money you put in.,Restaurant,Different,1.5
pair_108,"Boot time is super fast, around anywhere from 35 seconds to 1 minute.",The machine now has 10 gigs of RAM and it works just fine.,Laptop,Same,2.666666667
pair_1080,"Excellent food, nice ambience, fairly expensive","The appetizer was interesting, but the Creme Brulee was very savory and delicious.",Restaurant,Same,3
pair_1081,Although the service could be improved considering the money you put in.,"Should check-up on us more frequently, don't you think?",Restaurant,Same,1.666666667
pair_1082,Best Indian food in L.A.,I can highly recommend their various saag and paneer and korma.,Restaurant,Same,2.5
pair_1083,Best Indian food in L.A.,– I really enjoyed my meal here.,Restaurant,Same,3
pair_1084,The chicken curry and chicken tikka masala are my favorite meat dishes.,Fresh ingrediants and super tasty.,Restaurant,Same,3
pair_1085,The chicken curry and chicken tikka masala are my favorite meat dishes.,The place is the next best thing to my Moms cooking.,Restaurant,Same,3
pair_1086,The chicken curry and chicken tikka masala are my favorite meat dishes.,"Even the chickpeas, which I normally find too dry, were good.",Restaurant,Same,2
pair_1087,The chana masala (garbanzo beans) are also excellent.,I can highly recommend their various saag and paneer and korma.,Restaurant,Same,3.333333333
pair_1088,The chana masala (garbanzo beans) are also excellent.,i highly recommend this place to all that want to try indain food for the first time.,Restaurant,Same,2.75
pair_1089,hidden little jem,i love this place!,Restaurant,Same,2.75
pair_109,"Boot time is super fast, around anywhere from 35 seconds to 1 minute.",I spend so much time waiting for it.,Laptop,Different,1.333333333
pair_1090,Never too crowded and always great service.,I appreciate their delivery too.,Restaurant,Same,2.666666667
pair_1091,Never too crowded and always great service.,"Normally, places ask how hot you want it, but they didn't.",Restaurant,Different,1
pair_1092,Never too crowded and always great service.,And they packaged everything nicely so it didn't spill.,Restaurant,Same,2.75
pair_1093,I think I have probably tried each item on their menu at least once it is all excellent.,I can highly recommend their various saag and paneer and korma.,Restaurant,Same,3
pair_1094,I think I have probably tried each item on their menu at least once it is all excellent.,I should have thought to bring it up but never expected the food to be that mild.,Restaurant,Different,3
pair_1095,I can highly recommend their various saag and paneer and korma.,"Even the chickpeas, which I normally find too dry, were good.",Restaurant,Same,2.75
pair_1096,I appreciate their delivery too.,"Normally, places ask how hot you want it, but they didn't.",Restaurant,Different,1.5
pair_1097,I appreciate their delivery too.,And they packaged everything nicely so it didn't spill.,Restaurant,Same,3.5
pair_1098,i highly recommend this place to all that want to try indain food for the first time.,Fresh ingrediants and super tasty.,Restaurant,Same,3.25
pair_1099,– I really enjoyed my meal here.,Fresh ingrediants and super tasty.,Restaurant,Same,3.25
pair_11,"It takes less time to power up, and if you just close the case it go into sleep mode.",Machine is flying and with parallels desktop 8 I have my old PC notebook completely functional on my MBP.,Laptop,Same,3
pair_110,"Boot time is super fast, around anywhere from 35 seconds to 1 minute.","Mine has been though hundreds of parties, weddings, quinces, anything involving performances, it can take it!",Laptop,Same,2.666666667
pair_1100,"I had yummy lamb korma, saag paneer, samosas, naan, etc.",i highly recommend this place to all that want to try indain food for the first time.,Restaurant,Same,3.4
pair_1101,"I had yummy lamb korma, saag paneer, samosas, naan, etc.",Fresh ingrediants and super tasty.,Restaurant,Same,3
pair_1102,"I had yummy lamb korma, saag paneer, samosas, naan, etc.","Even the chickpeas, which I normally find too dry, were good.",Restaurant,Same,3
pair_1103,"Normally, places ask how hot you want it, but they didn't.",And they packaged everything nicely so it didn't spill.,Restaurant,Different,1.333333333
pair_1104,I should have thought to bring it up but never expected the food to be that mild.,"Even the chickpeas, which I normally find too dry, were good.",Restaurant,Different,2
pair_1105,"The naan was some of the best I've had and I really enjoyed the bhartha, not too tomatoey.",The place is the next best thing to my Moms cooking.,Restaurant,Same,3
pair_1106,"Even the chickpeas, which I normally find too dry, were good.",– i have been eating at this place for over 8 years now and i have never had one bad meal.,Restaurant,Same,3.25
pair_1107,"Even the chickpeas, which I normally find too dry, were good.",i highly recommend this place to all that want to try indain food for the first time.,Restaurant,Same,2.75
pair_1108,"Even the chickpeas, which I normally find too dry, were good.",The place is the next best thing to my Moms cooking.,Restaurant,Same,2.75
pair_1109,great lunch spot,This place rocks!!,Restaurant,Same,3.25
pair_111,"Boot time is super fast, around anywhere from 35 seconds to 1 minute.",Three years ago I had purchased this bad boy and it still runs great!,Laptop,Same,2.666666667
pair_1110,great lunch spot,– Great financial district mexican spot.,Restaurant,Same,3.5
pair_1111,great lunch spot,"– This is one of my top lunch spots, huge portions, fast service and amazing margaritas!!",Restaurant,Same,3.6
pair_1112,great lunch spot,– Best Mexican place for lunch in the financial district.,Restaurant,Same,3
pair_1113,– Great financial district mexican spot.,"– This is one of my top lunch spots, huge portions, fast service and amazing margaritas!!",Restaurant,Same,2.25
pair_1114,"Always busy, but they are good at seating you promptly and have quick service.","– Mercedes restaurant is so tasty, the service is undeniably awesome!",Restaurant,Same,2.4
pair_1115,"Always busy, but they are good at seating you promptly and have quick service.",You can order to go if you have to get back to the office too!,Restaurant,Same,2.75
pair_1116,You can order to go if you have to get back to the office too!,"– Mercedes restaurant is so tasty, the service is undeniably awesome!",Restaurant,Same,2.5
pair_1117,"Great food, better Margaritas!","The catering is out of this world, and Raouls chicken vegetable soup rocks my world!!!",Restaurant,Same,3
pair_1118,"– This is one of my top lunch spots, huge portions, fast service and amazing margaritas!!",This place rocks!!,Restaurant,Same,3
pair_1119,Love the enchiladas and chicken soup - and be sure to check out their specials.,"The catering is out of this world, and Raouls chicken vegetable soup rocks my world!!!",Restaurant,Same,2.75
pair_112,I'm sure you won't regret making this purchase.,I hope you don't make the same mistake...,Laptop,Different,1.5
pair_1120,Love the enchiladas and chicken soup - and be sure to check out their specials.,"Great food, better Margaritas!",Restaurant,Same,3
pair_1121,The cooks have been at the restaurant for years and cook family recipes.,"Great food, better Margaritas!",Restaurant,Same,3
pair_1122,my service was stellar!,"– Mercedes restaurant is so tasty, the service is undeniably awesome!",Restaurant,Same,4
pair_1123,my service was stellar!,"Always busy, but they are good at seating you promptly and have quick service.",Restaurant,Same,3
pair_1124,my service was stellar!,You can order to go if you have to get back to the office too!,Restaurant,Same,2.5
pair_1125,my service was stellar!,the bus boy even spotted that my table was shaking a stabilized it for me.,Restaurant,Same,3.5
pair_1126,the bus boy even spotted that my table was shaking a stabilized it for me.,"– Mercedes restaurant is so tasty, the service is undeniably awesome!",Restaurant,Same,3
pair_1127,the bus boy even spotted that my table was shaking a stabilized it for me.,"Always busy, but they are good at seating you promptly and have quick service.",Restaurant,Same,2.333333333
pair_1128,the bus boy even spotted that my table was shaking a stabilized it for me.,You can order to go if you have to get back to the office too!,Restaurant,Same,1.666666667
pair_1129,"food was fine, with a some little-tastier-than-normal salsa.","The catering is out of this world, and Raouls chicken vegetable soup rocks my world!!!",Restaurant,Same,3
pair_113,I'm sure you won't regret making this purchase.,Have bought several laptops in last several years and hands down this has been the best ever.,Laptop,Same,3.25
pair_1130,If you're in the area you shouldn't be disappointed.,This place rocks!!,Restaurant,Same,3
pair_1131,If you're in the area you shouldn't be disappointed.,– Great financial district mexican spot.,Restaurant,Same,2.6
pair_1132,If you're in the area you shouldn't be disappointed.,Ok.... – Maybe I went in on someone's bad day....,Restaurant,Different,1.5
pair_1133,If you're in the area you shouldn't be disappointed.,I don't know if I'll be back....,Restaurant,Different,1.75
pair_1134,Ok.... – Maybe I went in on someone's bad day....,great lunch spot,Restaurant,Different,1
pair_1135,Ok.... – Maybe I went in on someone's bad day....,– Great financial district mexican spot.,Restaurant,Different,1.666666667
pair_1136,Ok.... – Maybe I went in on someone's bad day....,– Best Mexican place for lunch in the financial district.,Restaurant,Different,1
pair_1137,Ok.... – Maybe I went in on someone's bad day....,I don't know if I'll be back....,Restaurant,Same,2.333333333
pair_1138,I don't know if I'll be back....,This place rocks!!,Restaurant,Different,1.5
pair_1139,I don't know if I'll be back....,– Best Mexican place for lunch in the financial district.,Restaurant,Different,1.25
pair_114,I'm sure you won't regret making this purchase.,I plan on using my MacBook Pro for a long time.,Laptop,Same,2.666666667
pair_1140,It was decent but nothing exceptional.,"I know many people have their favorite types of pizza and pizza places, but Mioposto's pizza lacks quality and good taste.",Restaurant,Different,2
pair_1141,It was decent but nothing exceptional.,"To be honest, I've had better frozen pizza.",Restaurant,Different,2.25
pair_1142,It was decent but nothing exceptional.,"Great Pizza, Poor Service",Restaurant,Different,1.5
pair_1143,It was decent but nothing exceptional.,"– Love their pizza, especially the mushroom pizza.",Restaurant,Different,1.25
pair_1144,It was decent but nothing exceptional.,Also love their caeser salad.,Restaurant,Different,1.333333333
pair_1145,It was decent but nothing exceptional.,Try the Pizza Ensalata!,Restaurant,Different,2.25
pair_1146,Well I guess it's hard to be seated when one is invisible to the staff.,We stood there for 10 minutes while employees walked back and forth ignoring us.,Restaurant,Same,3
pair_1147,Well I guess it's hard to be seated when one is invisible to the staff.,Once seated it took about 30 minutes to finally get the meal.,Restaurant,Same,2.333333333
pair_1148,Well I guess it's hard to be seated when one is invisible to the staff.,Poor customer service/poor pizza.,Restaurant,Same,3
pair_1149,Well I guess it's hard to be seated when one is invisible to the staff.,"– As with most restaurants in Seattle, Mioposto's service was bad and the food was overpriced.",Restaurant,Same,2.333333333
pair_115,I am really sorry I bought this machine.,"I have used this product for only 2 days, but I can't wait to use it more.",Laptop,Different,0.666666667
pair_1150,Well I guess it's hard to be seated when one is invisible to the staff.,"Prefer to order it and pick it up though because I don't like the servers, one young woman in particular.",Restaurant,Same,2.5
pair_1151,Well I guess it's hard to be seated when one is invisible to the staff.,She doesn't make you feel welcome and treats you like an annoyance.,Restaurant,Same,3
pair_1152,Well I guess it's hard to be seated when one is invisible to the staff.,"But she is very friendly with certain people, making it even more annoying.",Restaurant,Same,3
pair_1153,Well I guess it's hard to be seated when one is invisible to the staff.,Management should really take notice and train their waitstaff and teach them some proper manners.,Restaurant,Same,3
pair_1154,Well I guess it's hard to be seated when one is invisible to the staff.,"I've always found the wait staff and, if you sit at the bar, the cooks very friendly.",Restaurant,Different,2
pair_1155,We stood there for 10 minutes while employees walked back and forth ignoring us.,Once seated it took about 30 minutes to finally get the meal.,Restaurant,Same,3
pair_1156,We stood there for 10 minutes while employees walked back and forth ignoring us.,Poor customer service/poor pizza.,Restaurant,Same,2.75
pair_1157,We stood there for 10 minutes while employees walked back and forth ignoring us.,"– As with most restaurants in Seattle, Mioposto's service was bad and the food was overpriced.",Restaurant,Same,3
pair_1158,We stood there for 10 minutes while employees walked back and forth ignoring us.,"Prefer to order it and pick it up though because I don't like the servers, one young woman in particular.",Restaurant,Same,2.333333333
pair_1159,We stood there for 10 minutes while employees walked back and forth ignoring us.,She doesn't make you feel welcome and treats you like an annoyance.,Restaurant,Same,3.25
pair_116,They did not replace the motherboard.,Instead they 'tightened' a loose wire.,Laptop,Same,2.5
pair_1160,We stood there for 10 minutes while employees walked back and forth ignoring us.,"But she is very friendly with certain people, making it even more annoying.",Restaurant,Same,3
pair_1161,We stood there for 10 minutes while employees walked back and forth ignoring us.,Management should really take notice and train their waitstaff and teach them some proper manners.,Restaurant,Same,3.25
pair_1162,We stood there for 10 minutes while employees walked back and forth ignoring us.,"I've always found the wait staff and, if you sit at the bar, the cooks very friendly.",Restaurant,Different,1
pair_1163,Once seated it took about 30 minutes to finally get the meal.,Poor customer service/poor pizza.,Restaurant,Same,3
pair_1164,Once seated it took about 30 minutes to finally get the meal.,"– As with most restaurants in Seattle, Mioposto's service was bad and the food was overpriced.",Restaurant,Same,2.5
pair_1165,Once seated it took about 30 minutes to finally get the meal.,"Prefer to order it and pick it up though because I don't like the servers, one young woman in particular.",Restaurant,Same,2.5
pair_1166,Once seated it took about 30 minutes to finally get the meal.,She doesn't make you feel welcome and treats you like an annoyance.,Restaurant,Same,3
pair_1167,Once seated it took about 30 minutes to finally get the meal.,"But she is very friendly with certain people, making it even more annoying.",Restaurant,Same,2
pair_1168,Once seated it took about 30 minutes to finally get the meal.,Management should really take notice and train their waitstaff and teach them some proper manners.,Restaurant,Same,2.333333333
pair_1169,Once seated it took about 30 minutes to finally get the meal.,"I've always found the wait staff and, if you sit at the bar, the cooks very friendly.",Restaurant,Different,0.666666667
pair_117,They did not replace the motherboard.,I started it up and it still has the same problem I went in to fix.,Laptop,Same,1.666666667
pair_1170,The Caesar salad I ordered had so much lemon I couldn't eat it.,"Great Pizza, Poor Service",Restaurant,Different,2.333333333
pair_1171,The Caesar salad I ordered had so much lemon I couldn't eat it.,The pizza’s are light and scrumptious.,Restaurant,Different,0.75
pair_1172,– Mioposto has a very creative & delicious pizza menu.,The Caesar salad I ordered had so much lemon I couldn't eat it.,Restaurant,Different,1
pair_1173,The servers behind the counter are always friendly and helpful.,Well I guess it's hard to be seated when one is invisible to the staff.,Restaurant,Different,1
pair_1174,The servers behind the counter are always friendly and helpful.,We stood there for 10 minutes while employees walked back and forth ignoring us.,Restaurant,Different,0.666666667
pair_1175,The servers behind the counter are always friendly and helpful.,Once seated it took about 30 minutes to finally get the meal.,Restaurant,Different,0.75
pair_1176,The servers behind the counter are always friendly and helpful.,Poor customer service/poor pizza.,Restaurant,Different,1
pair_1177,The servers behind the counter are always friendly and helpful.,"– As with most restaurants in Seattle, Mioposto's service was bad and the food was overpriced.",Restaurant,Different,1
pair_1178,The servers behind the counter are always friendly and helpful.,"Prefer to order it and pick it up though because I don't like the servers, one young woman in particular.",Restaurant,Different,0.75
pair_1179,The servers behind the counter are always friendly and helpful.,She doesn't make you feel welcome and treats you like an annoyance.,Restaurant,Different,0.75
pair_118,They did not replace the motherboard.,So I'm going back to Genius Bar for visit #6.,Laptop,Same,1.75
pair_1180,The servers behind the counter are always friendly and helpful.,"But she is very friendly with certain people, making it even more annoying.",Restaurant,Different,1.2
pair_1181,The servers behind the counter are always friendly and helpful.,Management should really take notice and train their waitstaff and teach them some proper manners.,Restaurant,Different,0.8
pair_1182,The servers behind the counter are always friendly and helpful.,"I've always found the wait staff and, if you sit at the bar, the cooks very friendly.",Restaurant,Same,3.8
pair_1183,It's a great place to enjoy food and meet friends.,It was decent but nothing exceptional.,Restaurant,Different,2
pair_1184,It's a great place to enjoy food and meet friends.,The Caesar salad I ordered had so much lemon I couldn't eat it.,Restaurant,Different,1.5
pair_1185,It's a great place to enjoy food and meet friends.,"To be honest, I've had better frozen pizza.",Restaurant,Different,1.5
pair_1186,It's a great place to enjoy food and meet friends.,"– Love their pizza, especially the mushroom pizza.",Restaurant,Same,2.25
pair_1187,It's a great place to enjoy food and meet friends.,The pizza’s are light and scrumptious.,Restaurant,Same,3
pair_1188,It's a great place to enjoy food and meet friends.,Absolutely delicious.,Restaurant,Same,3
pair_1189,Poor customer service/poor pizza.,"– As with most restaurants in Seattle, Mioposto's service was bad and the food was overpriced.",Restaurant,Same,3
pair_119,They did not replace the motherboard.,I think it may have to be 'Apple Don't Care' instead of Apple Care.,Laptop,Same,2.5
pair_1190,Poor customer service/poor pizza.,"Prefer to order it and pick it up though because I don't like the servers, one young woman in particular.",Restaurant,Same,3.666666667
pair_1191,Poor customer service/poor pizza.,She doesn't make you feel welcome and treats you like an annoyance.,Restaurant,Same,3
pair_1192,Poor customer service/poor pizza.,"But she is very friendly with certain people, making it even more annoying.",Restaurant,Same,2.25
pair_1193,Poor customer service/poor pizza.,Management should really take notice and train their waitstaff and teach them some proper manners.,Restaurant,Same,3.4
pair_1194,Poor customer service/poor pizza.,"I've always found the wait staff and, if you sit at the bar, the cooks very friendly.",Restaurant,Different,1
pair_1195,"– As with most restaurants in Seattle, Mioposto's service was bad and the food was overpriced.","Prefer to order it and pick it up though because I don't like the servers, one young woman in particular.",Restaurant,Same,2
pair_1196,"– As with most restaurants in Seattle, Mioposto's service was bad and the food was overpriced.",She doesn't make you feel welcome and treats you like an annoyance.,Restaurant,Same,2.75
pair_1197,"– As with most restaurants in Seattle, Mioposto's service was bad and the food was overpriced.","But she is very friendly with certain people, making it even more annoying.",Restaurant,Same,2.25
pair_1198,"– As with most restaurants in Seattle, Mioposto's service was bad and the food was overpriced.",Management should really take notice and train their waitstaff and teach them some proper manners.,Restaurant,Same,3
pair_1199,"– As with most restaurants in Seattle, Mioposto's service was bad and the food was overpriced.","I've always found the wait staff and, if you sit at the bar, the cooks very friendly.",Restaurant,Different,1
pair_12,"It takes less time to power up, and if you just close the case it go into sleep mode.",From time to time I get the 'spinning beach ball' that holds up progress.,Laptop,Different,0.75
pair_120,They did not replace the motherboard.,They tried to tell me that the battery wasn't covered by the warranty and it costs about $150 to replace.,Laptop,Same,2
pair_1200,"I know many people have their favorite types of pizza and pizza places, but Mioposto's pizza lacks quality and good taste.","Great Pizza, Poor Service",Restaurant,Different,2.333333333
pair_1201,"I know many people have their favorite types of pizza and pizza places, but Mioposto's pizza lacks quality and good taste.",Also love their caeser salad.,Restaurant,Different,2
pair_1202,"I know many people have their favorite types of pizza and pizza places, but Mioposto's pizza lacks quality and good taste.",The pizza’s are light and scrumptious.,Restaurant,Different,2
pair_1203,"I know many people have their favorite types of pizza and pizza places, but Mioposto's pizza lacks quality and good taste.",Try the Pizza Ensalata!,Restaurant,Different,2.5
pair_1204,"I know many people have their favorite types of pizza and pizza places, but Mioposto's pizza lacks quality and good taste.",Absolutely delicious.,Restaurant,Different,1.666666667
pair_1205,"To be honest, I've had better frozen pizza.","Great Pizza, Poor Service",Restaurant,Different,1
pair_1206,"To be honest, I've had better frozen pizza.","– Love their pizza, especially the mushroom pizza.",Restaurant,Different,1
pair_1207,"To be honest, I've had better frozen pizza.",Also love their caeser salad.,Restaurant,Different,1.666666667
